lat,long,zip_code
48.8655,2.3426,75090.0
48.8655,2.3426,75092.0
48.8655,2.3426,75093.0
48.8655,2.3426,75094.0
48.8655,2.3426,75095.0
48.8655,2.3426,75096.0
48.8655,2.3426,75097.0
48.8592,2.3417,75100.0
48.8655,2.3426,75101.0
48.8655,2.3426,75102.0
48.8655,2.3426,75103.0
48.8655,2.3426,75104.0
48.8655,2.3426,75105.0
48.8655,2.3426,75106.0
48.8655,2.3426,75107.0
48.8655,2.3426,75108.0
48.8655,2.3426,75109.0
48.8655,2.3426,75110.0
48.8655,2.3426,75111.0
48.8655,2.3426,75112.0
48.8655,2.3426,75113.0
48.8763,2.3183,75114.0
48.8412,2.3003,75115.0
48.8637,2.2769,75116.0
48.8655,2.3426,75118.0
48.8655,2.3426,75119.0
48.8655,2.3426,75120.0
48.8637,2.3615,75122.0
48.8637,2.3615,75123.0
48.8637,2.3615,75124.0
48.8574,2.3795,75125.0
48.8574,2.3795,75126.0
48.8574,2.3795,75127.0
48.8574,2.3795,75128.0
48.8574,2.3795,75129.0
48.8574,2.3795,75130.0
48.8412,2.3876,75131.0
48.8574,2.3795,75134.0
48.8565,2.321,75138.0
48.8637,2.3615,75139.0
48.8637,2.3615,75140.0
48.8637,2.3615,75141.0
48.8637,2.3615,75142.0
48.8817,2.3822,75144.0
48.8637,2.3615,75150.0
48.8637,2.3615,75151.0
48.8637,2.3615,75152.0
48.8637,2.3615,75153.0
48.8637,2.3615,75154.0
48.8637,2.3615,75155.0
48.8637,2.3615,75156.0
48.8637,2.3615,75157.0
48.8331,2.3264,75158.0
48.8331,2.3264,75159.0
48.8601,2.3507,75161.0
48.8601,2.3507,75162.0
48.8601,2.3507,75163.0
48.8817,2.3822,75164.0
48.8817,2.3822,75165.0
48.8817,2.3822,75166.0
48.8817,2.3822,75167.0
48.8817,2.3822,75168.0
48.8817,2.3822,75169.0
48.8817,2.3822,75170.0
48.8817,2.3822,75171.0
48.8835,2.3219,75172.0
48.8835,2.3219,75174.0
48.8835,2.3219,75176.0
48.8835,2.3219,75177.0
48.8637,2.2769,75179.0
48.8601,2.3507,75180.0
48.8601,2.3507,75181.0
48.8601,2.3507,75182.0
48.8601,2.3507,75184.0
48.8601,2.3507,75186.0
48.8601,2.3507,75188.0
48.8601,2.3507,75189.0
48.8601,2.3507,75191.0
48.8601,2.3507,75192.0
48.8601,2.3507,75194.0
48.8601,2.3507,75195.0
48.8601,2.3507,75196.0
48.8601,2.3507,75197.0
48.8601,2.3507,75198.0
48.8322,2.3561,75201.0
48.8637,2.2769,75202.0
48.8637,2.2769,75203.0
48.8322,2.3561,75204.0
48.8322,2.3561,75205.0
48.8322,2.3561,75206.0
48.8637,2.2769,75207.0
48.8637,2.2769,75208.0
48.8637,2.2769,75209.0
48.8322,2.3561,75210.0
48.8322,2.3561,75211.0
48.8322,2.3561,75212.0
48.8637,2.2769,75213.0
48.8322,2.3561,75214.0
48.8637,2.2769,75215.0
48.8637,2.2769,75216.0
48.8637,2.2769,75217.0
48.8637,2.2769,75218.0
48.8637,2.2769,75219.0
48.8637,2.2769,75220.0
48.8448,2.3471,75221.0
48.8448,2.3471,75222.0
48.8448,2.3471,75223.0
48.8448,2.3471,75224.0
48.8448,2.3471,75226.0
48.8448,2.3471,75227.0
48.8448,2.3471,75228.0
48.8448,2.3471,75229.0
48.8448,2.3471,75230.0
48.8448,2.3471,75231.0
48.8448,2.3471,75232.0
48.8448,2.3471,75233.0
48.8448,2.3471,75234.0
48.8448,2.3471,75235.0
48.8448,2.3471,75236.0
48.8448,2.3471,75237.0
48.8448,2.3471,75238.0
48.8448,2.3471,75239.0
48.8448,2.3471,75240.0
48.8448,2.3471,75241.0
48.8322,2.3561,75243.0
48.8322,2.3561,75244.0
48.8448,2.3471,75248.0
48.8448,2.3471,75250.0
48.8448,2.3471,75252.0
48.8448,2.3471,75253.0
48.8448,2.3471,75256.0
48.8493,2.33,75260.0
48.8493,2.33,75261.0
48.8493,2.33,75262.0
48.8493,2.33,75263.0
48.8493,2.33,75264.0
48.8493,2.33,75265.0
48.8493,2.33,75266.0
48.8493,2.33,75269.0
48.8493,2.33,75270.0
48.8493,2.33,75272.0
48.8493,2.33,75275.0
48.8493,2.33,75278.0
48.8493,2.33,75279.0
48.8493,2.33,75280.0
48.8493,2.33,75281.0
48.8493,2.33,75282.0
48.8493,2.33,75283.0
48.8493,2.33,75284.0
48.8493,2.33,75288.0
48.8493,2.33,75290.0
48.8493,2.33,75291.0
48.8493,2.33,75292.0
48.8493,2.33,75294.0
48.8493,2.33,75295.0
48.8493,2.33,75298.0
48.8493,2.33,75299.0
48.8565,2.321,75302.0
48.8565,2.321,75303.0
48.8718,2.3399,75304.0
48.8718,2.3399,75305.0
48.8718,2.3399,75306.0
48.8718,2.3399,75307.0
48.8718,2.3399,75308.0
48.8718,2.3399,75309.0
48.8718,2.3399,75310.0
48.8718,2.3399,75311.0
48.8718,2.3399,75312.0
48.8718,2.3399,75313.0
48.8718,2.3399,75314.0
48.8718,2.3399,75315.0
48.8718,2.3399,75317.0
48.8718,2.3399,75318.0
48.8718,2.3399,75319.0
48.8718,2.3399,75320.0
48.8565,2.321,75321.0
48.8565,2.321,75322.0
48.8565,2.321,75323.0
48.8565,2.321,75324.0
48.8565,2.321,75325.0
48.8565,2.321,75326.0
48.8565,2.321,75327.0
48.8565,2.321,75328.0
48.8565,2.321,75329.0
48.8565,2.321,75330.0
48.8565,2.321,75333.0
48.8565,2.321,75335.0
48.8565,2.321,75337.0
48.8565,2.321,75338.0
48.8565,2.321,75339.0
48.8565,2.321,75340.0
48.8565,2.321,75341.0
48.8565,2.321,75342.0
48.8565,2.321,75343.0
48.8565,2.321,75344.0
48.8565,2.321,75345.0
48.8565,2.321,75348.0
48.8565,2.321,75349.0
48.8565,2.321,75350.0
48.8565,2.321,75352.0
48.8565,2.321,75353.0
48.8565,2.321,75355.0
48.8565,2.321,75356.0
48.8565,2.321,75357.0
48.8565,2.321,75358.0
48.8565,2.321,75359.0
48.8763,2.3183,75360.0
48.8763,2.3183,75361.0
48.8763,2.3183,75362.0
48.8763,2.3183,75363.0
48.8763,2.3183,75364.0
48.8763,2.3183,75365.0
48.8763,2.3183,75366.0
48.8763,2.3183,75367.0
48.8763,2.3183,75370.0
